,Batting,,,,Batting Ratios,,,Batted Ball,,,,,,,,,Win Probability,,,Baserunning,,
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Arizona Diamondbacks,0.334,91,0.315,0.171,3.0%,22.8%,7.4%,89.6,41.5%,26.2%,48.4%,18.6%,0.97,25.1%,52.6%,22.3%,-0.4,-1.0%,2.4,31%,82%,43%
Atlanta Braves,0.316,88,0.305,0.13,2.0%,20.0%,8.1%,88.6,36.4%,27.1%,46.7%,18.0%,0.92,25.7%,52.8%,21.5%,-9.6,-2.0%,-66,28%,69%,38%
Baltimore Orioles,0.331,101,0.291,0.188,4.2%,21.7%,7.7%,90,42.6%,23.8%,42.7%,23.8%,0.76,30.4%,50.5%,19.2%,1.6,-0.5%,14.3,29%,59%,39%
Boston Red Sox,0.354,113,0.32,0.179,3.3%,18.4%,8.8%,89.9,41.0%,24.7%,44.8%,22.0%,0.82,31.3%,49.5%,19.2%,8.6,8.6%,136.7,33%,78%,43%
Chicago Cubs,0.342,104,0.302,0.173,3.1%,21.1%,10.4%,88.5,38.5%,26.3%,42.0%,22.2%,0.75,33.1%,49.5%,17.4%,4.3,2.5%,97.5,31%,66%,43%
Chicago White Sox,0.32,99,0.304,0.153,2.7%,21.0%,7.4%,88.9,37.8%,25.5%,45.7%,20.3%,0.86,29.5%,49.0%,21.5%,-1.5,-2.4%,-33.9,29%,68%,41%
Cincinnati Reds,0.323,89,0.303,0.152,2.7%,21.1%,7.4%,86.7,31.5%,28.6%,44.0%,19.2%,0.82,27.4%,53.5%,19.1%,-1,0.0%,-6.2,31%,73%,37%
Cleveland Indians,0.337,97,0.304,0.168,3.0%,20.2%,8.6%,89,39.0%,27.7%,42.9%,20.7%,0.77,31.4%,50.6%,18.1%,2.3,2.7%,25.7,32%,81%,45%
Colorado Rockies,0.347,95,0.326,0.182,3.3%,21.3%,7.9%,88.7,40.3%,29.3%,43.6%,18.3%,0.81,27.1%,52.7%,20.2%,5.4,1.0%,81.9,34%,63%,44%
Detroit Tigers,0.335,106,0.312,0.171,3.4%,21.3%,8.1%,89.4,40.8%,25.9%,42.1%,24.6%,0.74,26.7%,51.5%,21.8%,2,0.7%,29,29%,67%,34%
Houston Astros,0.325,105,0.298,0.17,3.2%,23.4%,8.9%,88.9,40.7%,24.8%,43.9%,22.7%,0.81,31.3%,51.9%,16.8%,-2.9,-3.3%,7.1,29%,70%,43%
Kansas City Royals,0.316,88,0.309,0.139,2.4%,20.2%,6.3%,88.8,39.0%,23.6%,46.5%,20.9%,0.9,26.6%,53.1%,20.3%,-4.8,-2.6%,-60,30%,78%,42%
Los Angeles Angels,0.322,101,0.289,0.145,2.6%,16.4%,7.8%,88.7,38.3%,25.0%,45.7%,21.6%,0.86,27.9%,51.0%,21.1%,0.1,-0.7%,13.2,31%,68%,39%
Los Angeles Dodgers,0.325,96,0.294,0.16,3.1%,21.4%,8.5%,89.7,41.9%,25.8%,46.3%,20.3%,0.89,28.1%,52.4%,19.5%,1.5,1.5%,17.2,30%,63%,43%
Miami Marlins,0.321,97,0.314,0.131,2.1%,19.8%,7.3%,88.7,38.2%,26.5%,48.6%,17.3%,0.99,24.9%,54.2%,21.0%,-1.5,-2.2%,-33.1,28%,72%,39%
Milwaukee Brewers,0.326,90,0.304,0.163,3.2%,25.5%,9.9%,88.9,39.8%,25.6%,46.4%,19.6%,0.91,25.2%,52.2%,22.5%,-9.2,-1.7%,-49.8,27%,76%,40%
Minnesota Twins,0.324,97,0.3,0.171,3.2%,22.8%,8.2%,88.7,39.5%,24.1%,42.3%,24.2%,0.76,30.0%,51.0%,18.9%,-8.8,-1.8%,-21.5,29%,74%,43%
