,Batting Against,,,,,Pitching Ratios,,,Batted Ball,,,,,,Win Probability,,
Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24
Arizona Diamondbacks,0.239,0.31,0.388,0.698,0.292,2.8%,23.6%,8.5%,89.6,41.1%,24.2%,47.2%,21.6%,0.92,3.5,1.6%,80.6
Atlanta Braves,0.229,0.314,0.37,0.684,0.281,2.5%,23.1%,10.3%,88.5,37.5%,25.8%,43.0%,22.7%,0.78,6.5,5.7%,50.7
Baltimore Orioles,0.276,0.349,0.471,0.82,0.312,3.7%,19.0%,9.3%,88.9,39.8%,26.0%,42.1%,23.3%,0.74,-14.8,-1.0%,-172.4
Boston Red Sox,0.237,0.309,0.39,0.698,0.295,2.9%,25.3%,8.3%,88.8,37.8%,24.7%,42.6%,24.0%,0.76,12,7.4%,106
Chicago Cubs,0.24,0.323,0.376,0.698,0.287,2.5%,21.3%,9.9%,88.2,37.9%,25.7%,44.4%,21.6%,0.83,13.2,12.0%,78.9
Chicago White Sox,0.254,0.34,0.422,0.761,0.293,3.1%,19.9%,10.3%,88.9,39.1%,24.8%,40.8%,24.8%,0.7,-9.8,-2.1%,-123.2
Cincinnati Reds,0.266,0.332,0.45,0.782,0.303,3.6%,20.0%,8.5%,89,40.1%,25.1%,44.1%,22.2%,0.82,-7.5,-1.2%,-114
Cleveland Indians,0.242,0.3,0.414,0.714,0.299,3.3%,25.4%,6.7%,88.6,37.7%,24.7%,42.8%,24.4%,0.76,10.9,4.8%,104.3
Colorado Rockies,0.25,0.319,0.417,0.736,0.302,3.0%,22.9%,8.5%,88.7,38.4%,25.7%,45.1%,21.2%,0.84,3.6,4.5%,14.4
Detroit Tigers,0.258,0.323,0.439,0.762,0.292,3.5%,19.8%,8.0%,88.9,39.8%,25.0%,39.9%,25.5%,0.68,-6.1,-0.6%,-59.1
Houston Astros,0.217,0.282,0.358,0.64,0.284,2.6%,28.5%,7.4%,88,36.1%,24.9%,44.3%,22.8%,0.81,18.8,11.8%,203.9
Kansas City Royals,0.275,0.342,0.446,0.788,0.311,3.3%,18.4%,8.7%,89.5,41.1%,25.8%,42.9%,23.1%,0.77,-8.8,-1.6%,-107.7
Los Angeles Angels,0.248,0.322,0.415,0.738,0.295,3.4%,22.7%,8.9%,89.4,41.2%,26.1%,42.5%,22.7%,0.75,-0.6,0.3%,0.8
Los Angeles Dodgers,0.23,0.29,0.379,0.669,0.286,2.9%,25.7%,6.9%,87.9,36.3%,24.0%,44.8%,21.8%,0.84,8.1,11.9%,97.5
Miami Marlins,0.254,0.333,0.424,0.757,0.293,3.1%,20.0%,9.7%,89.1,40.3%,25.1%,40.6%,24.7%,0.7,-7,-1.2%,-133.3
Milwaukee Brewers,0.233,0.309,0.387,0.696,0.282,2.8%,23.4%,9.0%,88.1,38.0%,25.6%,42.6%,21.2%,0.77,7.2,9.3%,55.5
Minnesota Twins,0.256,0.332,0.423,0.755,0.304,3.2%,21.9%,9.1%,88.8,40.9%,25.7%,41.5%,23.7%,0.73,-2.3,-0.6%,-36.2
New York Mets,0.246,0.313,0.398,0.711,0.298,3.0%,23.4%,7.8%,87.6,35.4%,24.1%,41.7%,24.2%,0.74,3.3,-1.1%,-30.4
New York Yankees,0.237,0.304,0.39,0.694,0.302,2.9%,26.6%,8.0%,88.3,37.9%,24.6%,43.4%,23.4%,0.78,8.6,4.5%,70.2
Oakland Athletics,0.236,0.301,0.392,0.693,0.271,3.0%,20.3%,7.8%,88.4,38.7%,24.6%,43.0%,23.3%,0.78,12.2,8.1%,61.3
Philadelphia Phillies,0.249,0.316,0.407,0.723,0.306,2.8%,23.9%,8.2%,88,37.0%,24.2%,44.9%,21.5%,0.85,4.6,3.8%,-23.4
Pittsburgh Pirates,0.251,0.319,0.407,0.726,0.299,2.8%,21.7%,8.1%,88.9,39.1%,25.2%,43.4%,23.0%,0.79,2.5,-1.3%,-9.7
San Diego Padres,0.256,0.324,0.417,0.742,0.308,3.0%,22.4%,8.3%,88.8,39.7%,25.6%,44.0%,22.1%,0.81,-5.3,-1.0%,-83.8
Seattle Mariners,0.252,0.308,0.418,0.726,0.296,3.2%,21.9%,6.6%,89.1,40.1%,24.9%,42.6%,24.6%,0.75,6.7,4.2%,5.5
San Francisco Giants,0.251,0.318,0.404,0.722,0.297,2.5%,20.5%,8.5%,88.8,38.8%,25.6%,44.0%,21.2%,0.81,0.8,0.4%,-15.8
St. Louis Cardinals,0.246,0.324,0.378,0.702,0.297,2.3%,21.3%,9.5%,87.6,36.1%,25.8%,44.3%,21.0%,0.83,0.4,-0.1%,2.3
Tampa Bay Rays,0.23,0.3,0.377,0.677,0.279,2.7%,23.7%,8.4%,88.7,38.6%,23.8%,43.8%,24.1%,0.79,12.3,1.9%,75.3
Texas Rangers,0.271,0.335,0.464,0.798,0.301,3.6%,18.0%,7.9%,89.3,41.5%,25.5%,43.5%,23.2%,0.78,-6.8,-1.0%,-89.4
Toronto Blue Jays,0.265,0.335,0.446,0.782,0.308,3.3%,20.7%,8.8%,88.7,39.4%,23.7%,42.7%,24.5%,0.76,-7.2,-1.2%,-110.2
Washington Nationals,0.242,0.311,0.411,0.721,0.289,3.3%,23.3%,8.0%,88.1,37.5%,23.7%,41.3%,24.8%,0.72,2.9,2.1%,34.7
League Average,0.248,0.318,0.409,0.728,0.296,3.0%,22.3%,8.5%,88.7,38.8%,25.0%,43.1%,23.1%,0.78,,,
