,Batting,,,,Batting Ratios,,,Batted Ball,,,,,,,,,Win Probability,,,Baserunning,,
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Arizona Diamondbacks,0.329,93,0.293,0.182,3.50%,21.50%,8.60%,88.1,37.50%,24.40%,43.00%,24.20%,0.78,29.80%,52.90%,17.30%,-1.8,-2.70%,38,32%,86%,44%
Atlanta Braves,0.342,98,0.305,0.195,4.00%,23.30%,9.80%,89.6,41.70%,27.40%,40.30%,25.00%,0.69,30.70%,50.50%,18.80%,7.1,6.50%,80.4,32%,76%,45%
Baltimore Orioles,0.316,90,0.293,0.168,3.40%,23.20%,7.50%,88,36.70%,24.40%,43.60%,22.70%,0.8,29.90%,53.10%,17.10%,-11.5,-2.30%,-80.7,30%,74%,40%
Boston Red Sox,0.347,107,0.313,0.197,3.80%,21.30%,9.10%,90.3,44.70%,24.70%,43.00%,24.90%,0.76,28.50%,52.80%,18.70%,1.3,1.10%,77.7,33%,69%,44%
Chicago Cubs,0.337,101,0.297,0.2,4.10%,23.60%,9.40%,89.2,40.20%,24.60%,45.30%,22.30%,0.85,28.60%,52.90%,18.50%,1.7,1.20%,52.6,31%,65%,44%
Chicago White Sox,0.318,94,0.329,0.153,3.00%,25.60%,6.30%,89.3,40.80%,25.90%,45.60%,20.80%,0.86,27.20%,52.90%,20.00%,-4.6,-0.30%,-70.2,30%,69%,40%
Cincinnati Reds,0.32,83,0.288,0.178,3.70%,23.50%,8.10%,87.6,35.80%,24.70%,41.50%,24.90%,0.73,28.70%,51.20%,20.10%,-13.3,-4.60%,-79.4,28%,68%,38%
Cleveland Indians,0.326,93,0.289,0.183,3.60%,21.80%,9.20%,89.6,41.00%,23.70%,42.30%,24.60%,0.76,31.50%,51.60%,17.00%,-2.5,-2.80%,-30.8,31%,75%,42%
Colorado Rockies,0.337,86,0.321,0.19,3.60%,23.90%,7.80%,88.5,38.60%,26.20%,41.90%,23.40%,0.75,27.00%,53.40%,19.60%,-2.1,0.30%,10.3,34%,70%,46%
Detroit Tigers,0.297,76,0.308,0.148,2.50%,26.40%,6.50%,88.4,39.40%,26.40%,41.70%,23.70%,0.73,27.40%,53.50%,19.10%,-21.5,-3.10%,-228.9,26%,74%,42%
Houston Astros,0.36,119,0.296,0.221,4.50%,18.20%,10.10%,88.7,39.50%,25.60%,41.00%,24.20%,0.71,30.50%,53.10%,16.50%,6.6,3.10%,119.5,32%,71%,33%
Kansas City Royals,0.31,84,0.301,0.154,2.70%,23.10%,7.50%,88.1,36.30%,25.00%,43.80%,22.70%,0.8,28.60%,52.70%,18.70%,-12.4,-1.40%,-113.1,31%,75%,40%
Los Angeles Angels,0.324,96,0.281,0.175,3.50%,20.40%,9.40%,88.4,37.40%,25.10%,43.10%,23.40%,0.76,31.80%,51.10%,17.20%,-5.7,-0.80%,-32.3,30%,76%,37%
Los Angeles Dodgers,0.347,111,0.291,0.215,4.40%,21.60%,9.70%,89.6,42.00%,25.30%,40.10%,25.70%,0.69,31.00%,51.60%,17.40%,11.9,5.20%,139,33%,85%,40%
Miami Marlins,0.297,76,0.3,0.134,2.40%,24.30%,6.50%,88.5,38.30%,23.80%,48.10%,21.30%,0.95,24.10%,55.80%,20.10%,-17.5,-3.10%,-147.7,28%,65%,36%
Milwaukee Brewers,0.332,96,0.296,0.192,4.00%,24.80%,10.00%,90.1,43.50%,24.50%,43.40%,24.40%,0.78,27.50%,52.80%,19.60%,1,-0.90%,-4,28%,80%,39%
Minnesota Twins,0.353,118,0.3,0.224,4.80%,20.90%,8.20%,90.2,43.30%,26.70%,38.40%,26.00%,0.63,31.60%,51.90%,16.50%,10,7.10%,147.8,34%,57%,40%
