,Batting Against,,,,,Pitching Ratios,,,Batted Ball,,,,,,Win Probability,,
Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24
Arizona Diamondbacks,0.267,0.339,0.468,0.807,0.303,3.70%,19.70%,8.90%,88.2,39.60%,24.20%,39.80%,27.40%,0.68,-18.5,-2.10%,-162.5
Atlanta Braves,0.234,0.308,0.392,0.7,0.283,3.10%,23.80%,8.70%,87.8,38.70%,24.10%,43.30%,24.50%,0.79,7.3,5.60%,85.9
Baltimore Orioles,0.273,0.344,0.473,0.817,0.306,4.10%,19.70%,9.00%,89.5,41.40%,24.50%,39.80%,27.00%,0.67,-16.9,-0.20%,-217.5
Boston Red Sox,0.258,0.332,0.417,0.749,0.324,2.90%,24.80%,8.90%,88.1,39.60%,23.40%,44.20%,24.30%,0.8,4.7,3.90%,27.1
Chicago Cubs,0.255,0.338,0.442,0.78,0.297,3.80%,21.90%,9.60%,87.7,39.40%,24.00%,44.50%,24.20%,0.83,-6.2,2.60%,-110.8
Chicago White Sox,0.229,0.298,0.381,0.679,0.289,3.10%,27.10%,8.30%,88.3,38.80%,23.10%,41.10%,26.70%,0.71,8.1,4.80%,107.1
Cincinnati Reds,0.244,0.327,0.417,0.744,0.3,3.30%,24.60%,10.00%,87,37.40%,23.10%,43.80%,24.50%,0.8,6.4,3.10%,22.3
Cleveland Indians,0.24,0.313,0.417,0.73,0.283,3.60%,23.30%,8.80%,88.8,40.60%,24.20%,42.50%,26.00%,0.75,3.2,1.10%,12.7
Colorado Rockies,0.26,0.332,0.435,0.767,0.304,3.20%,21.00%,8.90%,88,38.10%,24.00%,44.30%,24.70%,0.82,-2.6,-1.80%,-23.3
Detroit Tigers,0.252,0.329,0.419,0.748,0.29,3.20%,20.40%,9.30%,89.1,40.90%,22.60%,44.40%,25.50%,0.81,3,-0.50%,-13.5
Houston Astros,0.228,0.306,0.382,0.688,0.276,3.10%,24.00%,9.10%,88.3,38.00%,22.60%,44.70%,25.10%,0.82,9.5,8.10%,109.1
Kansas City Royals,0.254,0.332,0.415,0.747,0.302,3.10%,21.90%,9.70%,89.2,40.90%,24.80%,42.50%,25.40%,0.75,-3.2,-1.20%,-34.8
Los Angeles Angels,0.251,0.33,0.41,0.74,0.306,3.00%,23.50%,9.60%,87.6,38.20%,23.80%,44.40%,24.70%,0.81,0.5,-0.90%,-46.7
Los Angeles Dodgers,0.207,0.28,0.344,0.624,0.263,2.70%,26.90%,8.20%,86.3,34.80%,21.60%,43.90%,25.20%,0.81,22.6,15.20%,210.8
Miami Marlins,0.241,0.317,0.401,0.718,0.292,2.70%,22.90%,8.80%,87.4,37.90%,23.50%,44.10%,24.70%,0.81,0.8,0.90%,25
Milwaukee Brewers,0.218,0.298,0.358,0.655,0.278,2.80%,27.00%,9.00%,86.8,36.20%,23.20%,44.20%,24.80%,0.82,15.6,10.80%,122.2
Minnesota Twins,0.255,0.32,0.449,0.769,0.292,3.90%,21.70%,8.00%,89,42.00%,23.60%,40.70%,27.90%,0.7,-3,-1.50%,-85.2
New York Mets,0.236,0.307,0.4,0.707,0.289,3.30%,25.10%,8.20%,87.8,38.70%,24.30%,42.10%,25.60%,0.75,5.6,4.00%,34.3
New York Yankees,0.231,0.299,0.389,0.688,0.286,3.30%,26.20%,8.20%,87.4,36.70%,22.60%,41.90%,26.80%,0.73,9.7,8.40%,93.1
Oakland Athletics,0.247,0.309,0.403,0.711,0.292,3.20%,22.00%,7.20%,88.3,38.20%,24.50%,40.00%,26.60%,0.68,2.7,2.10%,48.6
Philadelphia Phillies,0.244,0.316,0.414,0.73,0.298,3.30%,24.40%,8.40%,87,37.00%,22.40%,45.30%,23.80%,0.85,-0.8,0.80%,-16.8
Pittsburgh Pirates,0.26,0.341,0.446,0.787,0.304,3.50%,21.40%,9.90%,88.1,38.40%,24.40%,40.80%,26.60%,0.7,-9.8,-0.10%,-116
San Diego Padres,0.237,0.312,0.41,0.722,0.29,3.40%,25.10%,8.50%,88.1,39.20%,22.80%,42.70%,26.70%,0.77,2.1,3.10%,10.9
Seattle Mariners,0.247,0.314,0.417,0.73,0.289,3.20%,21.80%,7.90%,89,39.80%,23.80%,40.70%,27.30%,0.7,7.7,1.90%,-1.5
San Francisco Giants,0.23,0.291,0.368,0.658,0.282,2.50%,23.70%,6.90%,87.7,38.90%,23.30%,45.10%,24.10%,0.85,18.3,13.40%,158.2
St. Louis Cardinals,0.234,0.32,0.374,0.695,0.274,2.50%,20.30%,10.10%,87.9,37.70%,23.90%,43.80%,24.70%,0.8,8.6,4.50%,40.5
Tampa Bay Rays,0.232,0.294,0.386,0.68,0.282,3.10%,24.60%,7.30%,87.9,37.40%,24.00%,41.40%,26.10%,0.72,11.8,8.50%,102.1
Texas Rangers,0.256,0.325,0.436,0.761,0.29,3.80%,20.30%,8.40%,88.6,39.30%,24.30%,42.20%,25.80%,0.74,-3.9,0.00%,-60.6
Toronto Blue Jays,0.236,0.305,0.407,0.712,0.284,3.50%,24.80%,8.00%,88.6,39.50%,23.20%,43.00%,25.60%,0.76,6.9,3.20%,92.5
Washington Nationals,0.254,0.329,0.447,0.776,0.293,4.10%,22.20%,9.00%,87.9,39.80%,23.00%,40.60%,27.50%,0.71,-14,-2.20%,-119.8
League Average,0.244,0.317,0.411,0.728,0.292,3.30%,23.20%,8.70%,88.1,38.80%,23.60%,42.70%,25.70%,0.76,,,
