,Batting,,,,Batting Ratios,,,Batted Ball,,,,,,,,,Win Probability,,,Baserunning,,
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Arizona Diamondbacks,0.309,94,0.272,0.155,2.90%,22.30%,8.80%,87.1,36.00%,21.80%,43.90%,25.70%,0.81,32.70%,50.40%,16.90%,-2.2,-1.20%,-11,32%,78%,49%
Atlanta Braves,0.334,108,0.303,0.19,4.00%,24.60%,7.70%,89.8,43.60%,23.00%,42.20%,27.60%,0.73,30.50%,52.90%,16.60%,5.7,3.30%,64.9,32%,74%,50%
Baltimore Orioles,0.313,100,0.284,0.154,2.80%,23.00%,7.90%,88,39.20%,24.20%,38.90%,26.30%,0.65,30.50%,52.00%,17.50%,-1.7,-1.40%,-14.1,30%,75%,45%
Boston Red Sox,0.325,101,0.313,0.152,2.50%,22.40%,7.80%,89,41.00%,25.30%,43.50%,24.10%,0.78,26.30%,54.20%,19.50%,-3,-2.10%,17.9,32%,72%,38%
Chicago Cubs,0.314,94,0.294,0.148,2.60%,23.90%,8.40%,87.8,37.70%,23.20%,45.80%,23.60%,0.86,28.90%,51.30%,19.70%,-12.4,-2.50%,-86.2,29%,75%,44%
Chicago White Sox,0.313,97,0.304,0.131,2.40%,20.70%,6.30%,88.9,41.00%,24.10%,45.30%,24.00%,0.84,27.10%,52.40%,20.60%,-2.2,-1.20%,-21.3,30%,85%,37%
Cincinnati Reds,0.302,83,0.29,0.137,2.60%,23.90%,7.60%,86.8,35.00%,23.70%,43.30%,24.80%,0.78,30.20%,51.30%,18.50%,-13.8,-1.90%,-90.9,29%,64%,39%
Cleveland Guardians,0.313,100,0.294,0.129,2.10%,18.20%,7.30%,86.7,33.30%,24.70%,44.10%,22.60%,0.8,28.00%,52.60%,19.30%,0.7,0.10%,-1.2,31%,82%,43%
Colorado Rockies,0.318,90,0.307,0.144,2.40%,21.80%,7.40%,87.4,37.00%,24.50%,46.40%,23.30%,0.88,26.50%,54.20%,19.30%,-6.8,-0.30%,-57.7,30%,69%,43%
Detroit Tigers,0.285,81,0.29,0.115,1.90%,24.10%,6.50%,87.3,36.70%,24.20%,44.50%,23.70%,0.81,28.80%,51.20%,20.00%,-10.6,-2.20%,-128,28%,66%,44%
Houston Astros,0.329,110,0.278,0.176,3.50%,19.50%,8.70%,88.2,39.20%,23.80%,40.60%,28.30%,0.69,30.00%,53.30%,16.70%,5.1,2.60%,57.7,30%,79%,37%
Kansas City Royals,0.308,93,0.293,0.136,2.30%,21.40%,7.70%,88.1,37.90%,23.80%,41.40%,27.20%,0.72,29.60%,52.00%,18.30%,-8.3,-2.30%,-55.4,29%,75%,46%
Los Angeles Angels,0.305,91,0.289,0.157,3.20%,25.80%,7.50%,87.3,35.90%,23.20%,40.40%,27.40%,0.7,29.00%,53.00%,18.00%,-11.5,-1.10%,-81.2,27%,74%,41%
Los Angeles Dodgers,0.344,115,0.302,0.185,3.40%,22.00%,9.70%,89.3,42.00%,24.90%,37.10%,31.60%,0.59,32.00%,50.50%,17.50%,12.1,4.40%,132.5,34%,84%,40%
Miami Marlins,0.299,85,0.284,0.133,2.40%,24.00%,7.30%,87.9,37.40%,23.60%,44.50%,25.50%,0.81,27.30%,53.40%,19.30%,-12.8,-2.50%,-134,27%,81%,38%
Milwaukee Brewers,0.322,102,0.279,0.174,3.60%,23.90%,9.40%,88.7,39.90%,22.70%,42.00%,27.90%,0.73,30.20%,52.70%,17.10%,0.6,-1.20%,1.7,29%,76%,40%
