,Batting Against,,,,,Pitching Ratios,,,Batted Ball,,,,,,Win Probability,,
Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24
Arizona Diamondbacks,0.251,0.32,0.429,0.749,0.297,3.20%,22.20%,8.60%,89.3,41.50%,24.30%,41.50%,26.80%,0.72,-0.3,0.20%,1.1
Atlanta Braves,0.245,0.318,0.398,0.716,0.303,3.10%,24.70%,8.70%,88.6,38.90%,25.00%,42.10%,25.20%,0.74,4.1,3.80%,59
Baltimore Orioles,0.242,0.307,0.395,0.702,0.294,2.90%,23.50%,7.80%,88.8,40.80%,24.60%,43.70%,25.50%,0.79,9.6,6.10%,63.4
Boston Red Sox,0.256,0.325,0.433,0.758,0.307,3.40%,23.10%,8.10%,88.6,40.10%,22.80%,43.60%,25.60%,0.78,0,-0.90%,-15.9
Chicago Cubs,0.244,0.314,0.399,0.713,0.292,2.90%,22.60%,8.40%,87.8,38.10%,24.60%,43.90%,23.20%,0.8,3.5,0.70%,51.8
Chicago White Sox,0.249,0.337,0.424,0.76,0.3,3.40%,23.30%,10.40%,88.8,39.70%,24.60%,39.80%,27.70%,0.67,-5.3,-1.10%,-81.4
Cincinnati Reds,0.257,0.337,0.443,0.78,0.302,3.50%,21.90%,9.70%,88.6,39.30%,24.70%,38.40%,28.00%,0.63,2.1,0.20%,-42.2
Cleveland Guardians,0.246,0.316,0.4,0.716,0.291,2.80%,21.30%,8.70%,89,40.30%,24.80%,40.50%,26.90%,0.69,0.7,0.40%,45.7
Colorado Rockies,0.288,0.361,0.486,0.847,0.321,3.70%,17.90%,9.30%,89,41.30%,25.10%,40.90%,27.00%,0.7,-14.8,-1.90%,-158.8
Detroit Tigers,0.24,0.305,0.399,0.703,0.286,3.10%,22.60%,7.80%,88.8,39.90%,24.10%,42.30%,25.90%,0.74,7.5,0.90%,20.9
Houston Astros,0.241,0.316,0.408,0.724,0.291,3.30%,23.90%,8.80%,89.1,40.40%,23.60%,41.60%,27.30%,0.72,5.8,7.80%,53
Kansas City Royals,0.262,0.336,0.442,0.778,0.304,3.40%,20.70%,9.00%,88.7,39.50%,24.20%,41.20%,26.90%,0.71,-14.4,-1.30%,-127.8
Los Angeles Angels,0.252,0.337,0.422,0.759,0.303,3.30%,22.90%,10.10%,88.1,38.10%,23.90%,40.10%,28.00%,0.68,-4.7,-0.80%,-71.2
Los Angeles Dodgers,0.236,0.301,0.4,0.701,0.279,3.30%,23.10%,7.50%,88.1,37.90%,23.10%,42.00%,26.70%,0.74,8.2,2.90%,83.1
Miami Marlins,0.246,0.317,0.413,0.73,0.302,3.10%,24.50%,8.40%,88.3,38.70%,23.10%,44.30%,25.30%,0.81,8.9,5.60%,48.6
Milwaukee Brewers,0.226,0.297,0.385,0.681,0.269,3.30%,23.80%,8.20%,88.1,38.20%,23.30%,43.20%,26.00%,0.77,16,8.60%,118.6
Minnesota Twins,0.236,0.299,0.398,0.697,0.293,3.20%,25.90%,7.40%,88.3,38.80%,23.00%,41.10%,27.90%,0.71,10.4,4.60%,112.5
New York Mets,0.247,0.33,0.406,0.735,0.298,3.10%,22.90%,9.70%,88.8,40.20%,23.20%,41.70%,26.80%,0.73,1,-1.10%,10.4
New York Yankees,0.234,0.308,0.396,0.703,0.281,3.20%,23.70%,8.40%,88.2,38.80%,23.00%,43.40%,26.20%,0.78,8.5,3.00%,62
Oakland Athletics,0.266,0.355,0.453,0.807,0.308,3.30%,20.40%,10.90%,88.5,39.30%,24.50%,37.50%,28.80%,0.61,-16.5,-2.80%,-214.3
Philadelphia Phillies,0.24,0.304,0.397,0.701,0.291,3.10%,23.90%,7.70%,87.8,37.70%,23.70%,43.70%,24.90%,0.79,6.1,3.40%,50.3
Pittsburgh Pirates,0.251,0.331,0.413,0.745,0.301,2.90%,21.90%,9.60%,88.4,40.10%,24.60%,42.80%,24.70%,0.76,1.5,0.50%,-33.3
San Diego Padres,0.236,0.314,0.383,0.697,0.288,2.90%,23.80%,9.20%,87.5,37.00%,23.60%,44.40%,24.70%,0.81,6.2,0.80%,99.4
Seattle Mariners,0.237,0.297,0.392,0.689,0.288,3.10%,24.30%,7.00%,88.4,39.40%,23.50%,42.90%,26.10%,0.76,9.1,2.80%,79.3
San Francisco Giants,0.253,0.311,0.408,0.719,0.305,2.90%,22.50%,6.70%,88.7,40.00%,22.90%,48.70%,22.40%,0.97,3.7,1.80%,37.3
St. Louis Cardinals,0.276,0.343,0.447,0.79,0.321,2.90%,19.40%,8.50%,89.1,41.00%,24.30%,45.20%,24.50%,0.83,-6,-1.80%,-71.9
Tampa Bay Rays,0.231,0.294,0.386,0.68,0.285,3.00%,25.10%,7.30%,88.2,39.00%,23.70%,44.00%,23.90%,0.8,6.9,4.00%,77.5
Texas Rangers,0.245,0.313,0.406,0.719,0.289,3.30%,22.40%,8.20%,88.5,39.30%,22.90%,42.10%,27.40%,0.74,3.3,3.50%,38.6
Toronto Blue Jays,0.241,0.309,0.403,0.711,0.296,3.30%,25.10%,8.00%,88.4,39.90%,24.10%,41.00%,26.90%,0.71,12.6,7.90%,86.6
Washington Nationals,0.273,0.346,0.457,0.803,0.306,3.90%,19.50%,9.40%,88.9,41.30%,24.50%,40.70%,27.40%,0.7,-8,-2.00%,-100.4
League Average,0.248,0.32,0.414,0.734,0.297,3.20%,22.70%,8.60%,88.5,39.50%,23.90%,42.30%,26.20%,0.74,,,
