,Batting Against,,,,,Pitching Ratios,,,Batted Ball,,,,,,Win Probability,,
Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24
Arizona Diamondbacks,0.262,0.324,0.434,0.758,0.31,2.90%,21.20%,7.80%,88.9,40.50%,25.40%,42.50%,25.90%,0.75,-3.2,-2.30%,-50.7
Atlanta Braves,0.236,0.301,0.372,0.672,0.301,2.50%,26.00%,7.50%,87.3,36.90%,24.00%,45.10%,24.90%,0.84,13.8,11.60%,140
Baltimore Orioles,0.238,0.303,0.39,0.693,0.284,2.90%,22.70%,7.90%,88.2,38.20%,22.60%,42.00%,26.40%,0.74,3.1,1.60%,1.6
Boston Red Sox,0.246,0.31,0.397,0.707,0.289,3.10%,22.00%,7.50%,88,38.00%,23.40%,43.30%,25.30%,0.77,1.8,-1.70%,4.8
Chicago Cubs,0.239,0.305,0.386,0.692,0.284,3.00%,22.40%,8.00%,88,38.60%,22.90%,41.00%,27.60%,0.71,3.7,0.50%,56.2
Chicago White Sox,0.255,0.337,0.423,0.76,0.302,3.20%,21.90%,10.30%,88,37.00%,23.90%,39.70%,27.90%,0.67,-13.2,-0.70%,-104.5
Cincinnati Reds,0.239,0.311,0.404,0.715,0.283,3.20%,22.60%,8.00%,87.9,37.70%,23.10%,37.90%,28.90%,0.62,5.6,0.90%,45.9
Cleveland Guardians,0.23,0.301,0.395,0.696,0.277,3.00%,23.80%,8.30%,88.9,39.80%,23.60%,41.10%,26.90%,0.71,12.7,8.70%,97.8
Colorado Rockies,0.285,0.354,0.468,0.823,0.319,3.50%,17.70%,8.90%,89,40.90%,25.60%,42.60%,25.70%,0.75,-13.1,-2.20%,-171.8
Detroit Tigers,0.233,0.292,0.372,0.664,0.279,2.70%,22.70%,7.00%,88.4,38.00%,23.70%,43.50%,25.20%,0.78,9.4,4.20%,86.8
Houston Astros,0.231,0.307,0.381,0.687,0.282,3.00%,24.60%,9.00%,88.2,37.70%,24.00%,41.80%,26.40%,0.73,8.9,4.80%,54.5
Kansas City Royals,0.241,0.308,0.383,0.691,0.293,2.40%,22.30%,7.90%,88,38.30%,23.80%,43.10%,25.30%,0.77,5.1,2.50%,80
Los Angeles Angels,0.246,0.328,0.415,0.743,0.282,3.30%,20.40%,9.80%,88.9,40.00%,23.30%,41.70%,27.60%,0.73,-5,-1.10%,-78
Los Angeles Dodgers,0.235,0.304,0.399,0.703,0.277,3.30%,23.00%,8.30%,88.3,39.30%,23.70%,40.30%,27.60%,0.69,6.6,5.10%,45.8
Miami Marlins,0.257,0.332,0.428,0.76,0.302,3.10%,21.00%,8.90%,88.8,41.10%,23.10%,42.60%,26.80%,0.75,-5.4,-1.10%,-71.7
Milwaukee Brewers,0.237,0.306,0.388,0.693,0.279,3.20%,22.60%,8.10%,88.2,39.80%,23.80%,40.20%,27.10%,0.69,13.2,8.50%,108.7
Minnesota Twins,0.242,0.303,0.4,0.702,0.295,3.10%,24.70%,7.10%,87.9,37.60%,23.40%,39.90%,27.70%,0.67,2.2,1.70%,-4.4
New York Mets,0.23,0.315,0.373,0.687,0.283,2.70%,23.90%,9.60%,87.7,38.30%,22.60%,43.60%,25.60%,0.79,4,2.00%,24.9
New York Yankees,0.233,0.309,0.391,0.7,0.283,3.00%,23.80%,8.70%,88.9,40.00%,23.10%,41.50%,27.20%,0.72,9.4,6.70%,65.3
Oakland Athletics,0.253,0.327,0.41,0.737,0.297,2.70%,20.50%,8.60%,88.2,38.80%,23.60%,40.00%,27.00%,0.68,-3.1,-0.70%,-66
Philadelphia Phillies,0.243,0.305,0.397,0.702,0.295,3.00%,23.70%,7.30%,87.9,38.20%,24.20%,45.50%,23.30%,0.85,10.8,8.40%,66.2
Pittsburgh Pirates,0.25,0.321,0.402,0.723,0.3,2.70%,22.00%,8.40%,88.6,39.50%,24.40%,41.30%,26.40%,0.72,3.4,1.90%,1.5
San Diego Padres,0.238,0.304,0.385,0.689,0.293,2.80%,24.10%,7.70%,87.8,37.60%,24.10%,40.80%,26.10%,0.7,5.8,3.40%,59.5
Seattle Mariners,0.22,0.276,0.374,0.649,0.263,3.20%,24.40%,6.40%,88.2,38.20%,22.60%,40.50%,28.20%,0.69,7.4,3.40%,74
San Francisco Giants,0.246,0.319,0.389,0.708,0.305,2.50%,23.60%,8.60%,88.5,40.50%,21.90%,47.90%,24.10%,0.94,2.6,0.10%,9.9
St. Louis Cardinals,0.249,0.309,0.405,0.714,0.294,2.90%,21.60%,7.50%,88.2,38.80%,24.30%,44.30%,24.00%,0.81,6.5,1.50%,27.5
Tampa Bay Rays,0.236,0.299,0.39,0.689,0.28,3.30%,23.40%,7.40%,88.6,38.80%,23.60%,38.90%,28.20%,0.64,8.4,1.00%,52
Texas Rangers,0.243,0.316,0.403,0.719,0.287,3.20%,22.50%,8.70%,88.6,40.10%,23.80%,41.00%,27.70%,0.71,2.3,1.00%,-40.7
Toronto Blue Jays,0.243,0.314,0.411,0.724,0.282,3.40%,21.70%,8.30%,88.9,40.80%,23.70%,40.40%,27.80%,0.69,0,0.00%,-39.1
Washington Nationals,0.258,0.319,0.406,0.725,0.308,2.80%,21.50%,7.70%,88.7,40.60%,26.00%,42.10%,24.70%,0.74,-4.3,-1.30%,-49.9
League Average,0.243,0.312,0.399,0.711,0.291,3.00%,22.60%,8.20%,88.3,39.00%,23.70%,41.90%,26.40%,0.73,,,
,0.243,0.312,0.399,0.711,0.291,3.00%,22.60%,8.20%,88.3,39.00%,23.70%,41.90%,26.40%,0.73,,,
