,Batting,,,,Batting Ratios,,,Batted Ball,,,,,,,,,Win Probability,,,Baserunning,,
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Arizona Diamondbacks,0.341,115,0.302,0.177,3.40%,20.10%,9.10%,88.2,39.20%,22.70%,42.80%,25.30%,0.77,32.60%,50.00%,17.40%,11.2,7.40%,153.2,36%,80%,46%
Atlanta Braves,0.321,101,0.291,0.172,3.50%,24.10%,8.00%,89.6,42.80%,23.90%,41.20%,27.60%,0.71,32.50%,50.60%,16.90%,-5.8,-3.60%,-36.3,30%,78%,40%
Baltimore Orioles,0.329,118,0.288,0.186,3.80%,22.00%,7.90%,89.4,42.50%,24.10%,40.40%,27.80%,0.68,29.30%,52.50%,18.20%,6.9,4.10%,89.1,32%,80%,43%
Boston Red Sox,0.328,104,0.314,0.171,3.10%,25.40%,8.00%,88.7,41.10%,24.00%,41.40%,26.80%,0.72,29.50%,53.00%,17.50%,-1.8,0.20%,1.3,31%,77%,44%
Chicago Cubs,0.316,100,0.291,0.151,2.80%,22.30%,8.90%,88.2,38.40%,23.40%,40.40%,28.30%,0.69,30.30%,50.20%,19.50%,-1.7,-2.60%,11.4,32%,83%,43%
Chicago White Sox,0.278,76,0.272,0.119,2.30%,23.90%,6.70%,87.5,35.40%,24.10%,42.10%,25.60%,0.74,28.20%,53.00%,18.80%,-26.8,-2.40%,-224.5,25%,73%,41%
Cincinnati Reds,0.313,88,0.283,0.157,2.90%,24.40%,8.30%,87.2,36.00%,23.70%,41.30%,26.80%,0.71,31.80%,50.30%,17.90%,-9.6,-3.00%,-41.3,32%,82%,47%
Cleveland Guardians,0.312,98,0.271,0.157,3.10%,20.20%,7.90%,87.1,33.80%,23.10%,40.80%,26.50%,0.7,34.00%,50.00%,16.00%,-1.2,0.10%,-6.1,32%,76%,44%
Colorado Rockies,0.31,86,0.308,0.158,3.00%,26.80%,7.50%,88.2,39.70%,24.30%,42.70%,27.10%,0.75,29.70%,51.60%,18.60%,-6.9,-1.10%,-78.5,31%,73%,42%
Detroit Tigers,0.304,93,0.288,0.151,2.70%,24.30%,7.90%,88.5,38.10%,24.00%,40.80%,27.40%,0.69,30.60%,52.00%,17.40%,-4.4,-2.30%,-44.1,32%,76%,49%
Houston Astros,0.326,111,0.299,0.157,3.10%,19.30%,7.30%,88.4,39.10%,24.00%,41.80%,27.10%,0.73,30.20%,51.90%,17.90%,-1.3,-1.50%,37.9,31%,79%,36%
Kansas City Royals,0.315,97,0.283,0.156,2.80%,19.40%,7.20%,88.8,40.50%,22.90%,40.90%,27.40%,0.71,30.50%,52.20%,17.30%,-0.4,0.30%,14,34%,81%,48%
Los Angeles Angels,0.301,90,0.279,0.14,2.80%,23.70%,8.10%,87.9,36.60%,23.70%,42.40%,26.60%,0.74,30.40%,52.00%,17.60%,-13,-2.10%,-95.4,29%,73%,40%
Los Angeles Dodgers,0.343,122,0.297,0.189,3.70%,21.40%,9.60%,89.1,41.40%,25.20%,38.50%,29.10%,0.63,30.30%,50.90%,18.80%,10.4,8.00%,117.3,33%,86%,49%
Miami Marlins,0.301,80,0.299,0.134,2.50%,23.30%,6.70%,87.5,36.90%,22.10%,48.00%,23.10%,0.95,28.50%,52.70%,18.80%,-13.6,-2.10%,-139.2,29%,74%,38%
Milwaukee Brewers,0.325,100,0.305,0.155,2.90%,23.70%,9.70%,87.8,38.60%,22.70%,44.20%,24.90%,0.82,28.80%,53.00%,18.30%,-1.2,-1.00%,32.7,33%,84%,43%
Minnesota Twins,0.321,103,0.289,0.165,3.00%,21.30%,7.70%,88.5,38.40%,24.40%,38.90%,28.40%,0.64,31.60%,51.90%,16.60%,-1.2,-2.30%,13,32%,74%,42%
